fid,dim,seed,S_min,stall,eta,err,feeds,cfg
9,10,2037,0.02,5,0.2,359.09434478037065,0,S0.02_st5_e0.2
9,10,2038,0.02,5,0.2,359.0943447803611,8,S0.02_st5_e0.2
9,10,2039,0.02,5,0.2,359.09434478035973,12,S0.02_st5_e0.2
9,10,2040,0.02,5,0.2,359.0943447803602,13,S0.02_st5_e0.2
9,10,2041,0.02,5,0.2,359.0943447803602,12,S0.02_st5_e0.2
9,10,2042,0.02,5,0.2,359.0943447803602,12,S0.02_st5_e0.2
9,10,2043,0.02,5,0.2,359.0943447803602,13,S0.02_st5_e0.2
9,10,2044,0.02,5,0.2,359.09434478036746,7,S0.02_st5_e0.2
9,10,2045,0.02,5,0.2,359.09434478036064,12,S0.02_st5_e0.2
9,10,2046,0.02,5,0.2,359.09434478036064,11,S0.02_st5_e0.2
9,10,2047,0.02,5,0.2,359.0943447803602,13,S0.02_st5_e0.2
9,10,2048,0.02,5,0.2,9.094947017729282e-13,7,S0.02_st5_e0.2
9,10,2049,0.02,5,0.2,359.09434478035973,11,S0.02_st5_e0.2
9,10,2050,0.02,5,0.2,359.0943447803611,14,S0.02_st5_e0.2
