problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters,c1_sel_share,c1_acc_share,c1_acc_rate
cec2022_F1_d10,1019,300.0000000000001,0.0,14970,"[-55.93832668864579, 4.543065371626775, 35.30007027707875, 8.27944089655455, -47.4369427021338, 7.302099591808982, 6.3876658207549815, -2.4978316174496236, -61.05355711217621, -47.13399652514047]",86,4894,38,3687,166,0.017269076305220885,0.010201342281879194,0.4418604651162791
cec2022_F1_d10,1020,300.000000000018,0.0,14970,"[-55.938327352126414, 4.5430669747701256, 35.30007007082072, 8.279441968630712, -47.436940230825776, 7.30209864607676, 6.387664758457032, -2.4978335196742014, -61.05355648335952, -47.13399626444425]",105,4875,31,3773,166,0.02108433734939759,0.00814931650893796,0.29523809523809524
cec2022_F1_d10,1021,300.00000002027224,0.0,14970,"[-55.93828256120487, 4.543012076129475, 35.30009206006896, 8.279420906973682, -47.43685160171245, 7.302117695117985, 6.387682526887398, -2.497801471705931, -61.05350549931393, -47.13399157036828]",106,4874,37,3772,166,0.021285140562248995,0.009713835652402206,0.3490566037735849
cec2022_F1_d10,1022,300.00000002213017,0.0,14970,"[-55.93833005866729, 4.543073458160424, 35.300035163088666, 8.279445213241107, -47.43694478964125, 7.3021015434034275, 6.387666039664621, -2.497836365779841, -61.053546265725906, -47.13385288244484]",83,4897,36,3826,166,0.016666666666666666,0.009321595028482652,0.43373493975903615
cec2022_F1_d10,1023,300.0000000000004,0.0,14970,"[-55.938327224671504, 4.543065388848777, 35.30007039711318, 8.279440770103099, -47.43694269416111, 7.302099710755896, 6.387665893440994, -2.4978314483297392, -61.05355689186706, -47.13399629380976]",92,4888,27,3682,166,0.018473895582329317,0.007279590186033971,0.29347826086956524
cec2022_F1_d10,1024,300.0000000055895,0.0,14970,"[-55.93829572643707, 4.543033824119361, 35.30010793156232, 8.279451930945596, -47.43695046741733, 7.302101243199509, 6.387651378718073, -2.4978070167100883, -61.0535352329313, -47.13397018462343]",110,4870,34,3779,166,0.02208835341365462,0.008916863362182009,0.3090909090909091
cec2022_F1_d10,1025,300.00000000029775,0.0,14970,"[-55.93832409798678, 4.5430620402657755, 35.30006705827147, 8.279441745348072, -47.43694779389474, 7.302095248619492, 6.387664478319039, -2.49781688501269, -61.05355689507147, -47.133999565439055]",87,4893,32,3694,166,0.01746987951807229,0.008588298443370907,0.367816091954023
cec2022_F1_d10,1026,300.0000000001843,0.0,14970,"[-55.93832487084077, 4.543058040328514, 35.30006923973138, 8.279440252805745, -47.43693676221008, 7.302098943896812, 6.38767281471949, -2.4978287635428718, -61.05356211599882, -47.13399503303173]",102,4878,40,3755,166,0.020481927710843374,0.010540184453227932,0.39215686274509803
cec2022_F1_d10,1027,300.0000000009131,0.0,14970,"[-55.93830470082379, 4.543067682918326, 35.30006794175351, 8.279430251815004, -47.43694793939364, 7.302102953733146, 6.387663672579488, -2.4978324422712586, -61.05354885716813, -47.13401011679839]",99,4881,43,3808,166,0.019879518072289156,0.01116593092703194,0.43434343434343436
cec2022_F1_d10,1028,300.00000000146844,0.0,14970,"[-55.93831348381741, 4.543064772072851, 35.30004607434684, 8.279427531764236, -47.436932361176666, 7.302109987669615, 6.387661396623605, -2.4978205383616623, -61.05354551087759, -47.133989905944176]",119,4861,40,3761,166,0.02389558232931727,0.010523546435148644,0.33613445378151263
cec2022_F1_d10,1029,300.0000000165013,0.0,14970,"[-55.93842857891254, 4.543108490679047, 35.30005864108697, 8.279463380736374, -47.43693786200603, 7.302153194830923, 6.387671346095244, -2.4978474499998393, -61.053572695005826, -47.133987502760604]",81,4899,38,3782,166,0.016265060240963854,0.009947643979057591,0.4691358024691358
spring,1000,0.012665637198320506,0.0,14970,"[0.05183815939975029, 0.3603152607700455, 11.081129392567464]",47,4933,39,1993,166,0.009437751004016065,0.019192913385826772,0.8297872340425532
spring,1001,0.012665240758234178,0.0,14970,"[0.0517098692695098, 0.35721853540698756, 11.259666000734294]",44,4936,44,1500,166,0.008835341365461847,0.02849740932642487,1.0
spring,1002,0.012722637970132226,0.0,14970,"[0.05348809332029979, 0.40156122298046815, 9.074169515733876]",51,4929,43,2480,166,0.010240963855421687,0.017043202536662704,0.8431372549019608
