function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F22022,10,EAO+M2,1017,3.9865791332480285,14970,0,1916,2146
F22022,10,EAO+M2,1018,3.9866697444051624,14970,0,2273,2158
F22022,10,EAO+M2,1019,8.91610192778137,14970,0,1017,1665
F22022,10,EAO+M2,1020,4.009475129508587,14970,0,1483,2365
F22022,10,EAO+M2,1021,4.084398464848448,14970,0,822,2777
F22022,10,EAO+M2,1022,6.161140515814623e-05,14970,0,2364,2028
F22022,10,EAO+M2,1023,8.916101927781312,14970,0,1150,1209
F22022,10,EAO+M2,1024,4.107513601996857,14970,0,970,2120
F22022,10,EAO+M2,1025,4.001659921405235,14970,0,940,2460
F22022,10,EAO+M2,1026,3.9865804155804767,14970,0,2175,2117
F22022,10,EAO+M2,1027,3.9865791135620725,14970,0,2181,2138
F22022,10,EAO+M2,1028,3.9866083741136435,14970,0,2348,2020
F22022,10,EAO+M2,1029,8.916101927781426,14970,0,1351,911
F22022,10,EAO+M1a,1000,8.916101928043418,14970,0,30,3736
F22022,10,EAO+M1a,1001,0.24210602070837695,14970,0,35,2786
F22022,10,EAO+M1a,1002,8.916101927903469,14970,0,36,3550
F22022,10,EAO+M1a,1003,4.647367578527735,14970,0,35,915
F22022,10,EAO+M1a,1004,8.916111298413398,14970,0,29,2266
F22022,10,EAO+M1a,1005,5.825368704603136,14970,0,31,785
F22022,10,EAO+M1a,1006,8.916102001942818,14970,0,24,2607
F22022,10,EAO+M1a,1007,5.219822043477393,14970,0,23,1045
F22022,10,EAO+M1a,1008,8.916102695572874,14970,0,30,2819
F22022,10,EAO+M1a,1009,6.209068110184035,14970,0,40,1385
F22022,10,EAO+M1a,1010,8.91610266901938,14970,0,34,2630
F22022,10,EAO+M1a,1011,5.959012580003048,14970,0,33,2785
F22022,10,EAO+M1a,1012,6.157399547654904,14970,0,35,3772
F22022,10,EAO+M1a,1013,8.916101929635545,14970,0,27,3524
F22022,10,EAO+M1a,1014,4.009247966589214,14970,0,22,1338
F22022,10,EAO+M1a,1015,0.13687535728507783,14970,0,40,2690
F22022,10,EAO+M1a,1016,4.020863834573959,14970,0,32,2750
F22022,10,EAO+M1a,1017,4.468942855203522,14970,0,34,1771
F22022,10,EAO+M1a,1018,8.916604413669006,14970,0,37,1427
F22022,10,EAO+M1a,1019,0.06814432564556228,14970,0,29,3393
F22022,10,EAO+M1a,1020,5.1445519946941545,14970,0,28,1199
F22022,10,EAO+M1a,1021,5.075627668879747,14970,0,32,1703
F22022,10,EAO+M1a,1022,0.00013488468590594493,14970,0,21,2198
F22022,10,EAO+M1a,1023,8.916101930423565,14970,0,31,3459
F22022,10,EAO+M1a,1024,8.91610781389494,14970,0,29,2245
F22022,10,EAO+M1a,1025,4.866870742336573,14970,0,32,1889
F22022,10,EAO+M1a,1026,3.9886380239406662,14970,0,28,2900
F22022,10,EAO+M1a,1027,4.698976546997301,14970,0,23,1500
F22022,10,EAO+M1a,1028,0.10763526035248105,14970,0,36,2371
F22022,10,EAO+M1a,1029,8.916101932066397,14970,0,37,2558
F22022,10,EAO+M1,1000,8.916101928043418,14970,0,30,3736
F22022,10,EAO+M1,1001,0.24210602070837695,14970,0,35,2786
F22022,10,EAO+M1,1002,8.916101927903469,14970,0,36,3550
F22022,10,EAO+M1,1003,4.647367578527735,14970,0,35,915
F22022,10,EAO+M1,1004,8.916111298413398,14970,0,29,2266
F22022,10,EAO+M1,1005,5.825368704603136,14970,0,31,785
F22022,10,EAO+M1,1006,8.916102001942818,14970,0,24,2607
F22022,10,EAO+M1,1007,5.219822043477393,14970,0,23,1045
