t,AF,S,fed,variant
241,0.5029177951860715,0.09883965323398747,0,KE-EAO
242,0.5103812606794027,0.09593195852622667,0,KE-EAO
243,0.5090280429126368,0.09645283082598798,0,KE-EAO
244,0.5158327480198224,0.09386128620929898,0,KE-EAO
245,0.5272349499672748,0.08966876153829892,0,KE-EAO
246,0.5278392125199258,0.08945163153490614,0,KE-EAO
247,0.5278392125199258,0.08945163153490614,0,KE-EAO
248,0.5292994999808922,0.0889289523296546,0,KE-EAO
249,0.5303541273936788,0.0885532606136778,0,KE-EAO
250,0.5340020945523487,0.08726518307728642,0,KE-EAO
251,0.5345453789438681,0.08707485639025768,0,KE-EAO
252,0.5354147326734062,0.08677110265659847,0,KE-EAO
253,0.5359470300270068,0.08658560342233988,0,KE-EAO
254,0.5341909619908818,0.08719897399107795,0,KE-EAO
255,0.5342003521928682,0.08719568339763263,0,KE-EAO
256,0.535881843731182,0.08660830026210717,0,KE-EAO
257,0.5364148547041477,0.08642287610613174,0,KE-EAO
258,0.5385160116430834,0.08569549992559519,0,KE-EAO
259,0.5421957030647534,0.08443524991945056,0,KE-EAO
260,0.5435132742823422,0.08398814662262026,0,KE-EAO
261,0.5434873186591676,0.08399693344586043,0,KE-EAO
262,0.5434196755031907,0.08401983679998876,0,KE-EAO
263,0.5512542307174086,0.08140450345362221,0,KE-EAO
264,0.5510069166041831,0.08148592510651767,0,KE-EAO
265,0.5511355648498448,0.08144356194332097,0,KE-EAO
266,0.5516903259649603,0.08126110843993908,0,KE-EAO
267,0.5515882170886013,0.0812946631235545,0,KE-EAO
268,0.5518191279809066,0.081218799656144,0,KE-EAO
269,0.551567339915877,0.08130152524123642,0,KE-EAO
270,0.5523472233046878,0.08104553762704017,0,KE-EAO
271,0.5523870631785781,0.08103248005949691,0,KE-EAO
272,0.5523151554069365,0.08105604928823956,0,KE-EAO
273,0.552405283326814,0.0810265090112073,0,KE-EAO
274,0.552977594968074,0.08083915317721593,0,KE-EAO
275,0.5529879736790663,0.08083575911189037,0,KE-EAO
276,0.5531214655121698,0.08079211571983333,0,KE-EAO
277,0.553135285121938,0.08078759878418375,0,KE-EAO
278,0.5535189033343711,0.08066230330636377,0,KE-EAO
279,0.5536182185129108,0.08062989377158279,0,KE-EAO
280,0.5535204978363775,0.08066178288046047,0,KE-EAO
281,0.5539825422077773,0.08051110347534002,0,KE-EAO
282,0.5540073012729991,0.08050303627807756,0,KE-EAO
283,0.5544951241210074,0.08034423685604314,0,KE-EAO
284,0.5544357036188723,0.08036356487738304,0,KE-EAO
285,0.55446040889399,0.08035552835859827,0,KE-EAO
286,0.5544027102537075,0.08037429859287251,0,KE-EAO
287,0.5544960909886301,0.08034392239214273,0,KE-EAO
288,0.5774256697402381,0.07318246354545722,0,KE-EAO
289,0.5774172180384811,0.07318499843095373,0,KE-EAO
290,0.5774223675944161,0.07318345393616695,0,KE-EAO
291,0.5774785948567713,0.07316659161159456,0,KE-EAO
292,0.5778527507575025,0.07305446736891155,0,KE-EAO
293,0.5779572548895997,0.07302317628853335,0,KE-EAO
294,0.5779662781288757,0.07302047504180141,0,KE-EAO
295,0.5806863944445904,0.07220999313346593,0,KE-EAO
296,0.5807985448508263,0.07217673991535956,0,KE-EAO
297,0.5808022843396099,0.07217563135741294,0,KE-EAO
298,0.5808754009935497,0.07215395905723754,0,KE-EAO
299,0.5809121378786598,0.07214307204041909,0,KE-EAO
300,0.5811245474155394,0.07208015122529994,0,KE-EAO
301,0.5830934612625498,0.0714990934445978,0,KE-EAO
302,0.5831570093121543,0.07148040476775208,0,KE-EAO
303,0.5874636676986897,0.07022329294292635,0,KE-EAO
304,0.5876928358380464,0.07015691514666943,0,KE-EAO
305,0.587869549946962,0.07010576582682687,0,KE-EAO
306,0.5879890471335044,0.07007119518213535,0,KE-EAO
307,0.5878887854092061,0.07010020004105702,0,KE-EAO
308,0.5878516991048158,0.07011093129828597,0,KE-EAO
309,0.5878318436578791,0.07011667720777723,0,KE-EAO
310,0.5879885106175157,0.07007135036529587,0,KE-EAO
311,0.588027700680712,0.07006001568333961,0,KE-EAO
312,0.5880060557547828,0.07006627571485961,0,KE-EAO
313,0.5880619589724603,0.0700501086224541,0,KE-EAO
314,0.5881653758120724,0.07002020879235078,0,KE-EAO
315,0.5881715835492157,0.07001841434869731,0,KE-EAO
316,0.5882454526181279,0.06999706424405994,0,KE-EAO
317,0.5883533772472431,0.06996588082467502,0,KE-EAO
318,0.5883597180713778,0.069964049081736,0,KE-EAO
319,0.5883690976083827,0.06996133958510478,0,KE-EAO
320,0.5883765628972515,0.06995918312514948,0,KE-EAO
321,0.5884560268608905,0.06993623216580591,0,KE-EAO
322,0.5961680465859921,0.06773793995276778,0,KE-EAO
323,0.5962052898326836,0.06772746184131233,0,KE-EAO
324,0.5961863394730589,0.06773279322096729,0,KE-EAO
325,0.5961850493051837,0.06773315620132331,0,KE-EAO
326,0.5965922994315271,0.06761865698784021,0,KE-EAO
327,0.5965937819479683,0.06761824046084589,0,KE-EAO
328,0.5965709334793727,0.06762466018377954,0,KE-EAO
329,0.5965565433517395,0.06762870362321777,0,KE-EAO
330,0.5965504549644831,0.06763041443988795,0,KE-EAO
331,0.5965073889542373,0.06764251684344481,0,KE-EAO
332,0.6019091495176746,0.06613802943539335,0,KE-EAO
333,0.601927639203466,0.066132926097779,0,KE-EAO
334,0.6019452884136727,0.06612805503226628,0,KE-EAO
335,0.6019583591500821,0.06612444777939815,0,KE-EAO
336,0.6019666852426566,0.06612215003175692,0,KE-EAO
