dim,fid,alg,mean,std,median,best,rank
10,11,LSHADE,3.941143707682689e-13,1.974387875885917e-13,4.547473508864641e-13,0.0,1.0
10,12,EAO,166.21456596057493,1.7449912066461875,166.3763961026516,163.76962458878643,2.0
10,12,RS-EAO,166.49569525096655,2.1354332587458575,166.42071785128996,163.76998808721464,3.0
10,12,AS-ABMO,169.72073762010507,9.894777555243582,167.36121266332884,164.56675390900045,4.0
10,12,RUN,171.69361937658124,1.6802392327708278,171.25624784495653,169.02776280789067,6.0
10,12,GWO,170.20470695186756,5.837281833516714,169.0769981166743,167.98048244475376,5.0
10,12,WOA,311.8334755976375,115.80108385265632,276.09550016715343,171.3345120061822,9.0
10,12,HHO,307.67010233538457,94.0224599877287,290.4527496827659,182.98250707596117,8.0
10,12,SCA,217.10492889778737,13.757902619324822,217.0116886659291,191.23054997675808,7.0
10,12,LSHADE,165.334940198908,0.8872493583273057,165.89175687724605,163.8376558490495,1.0
20,1,EAO,37.63254925636267,72.73763016494834,12.98870324557629,1.1559255742437813,4.0
20,1,RS-EAO,3.295335583667717e-08,6.911710982054641e-08,1.663693183218129e-09,5.002220859751105e-12,2.0
20,1,AS-ABMO,0.009972720868984198,0.05462284179293027,3.410605131648481e-13,5.684341886080802e-14,3.0
20,1,RUN,10104.139430314526,2890.3691025938638,10296.416000004323,4998.064533716316,7.0
20,1,GWO,1549.7857576267575,613.7487301302019,1359.2386205883763,810.2417960358534,5.0
20,1,WOA,10097.495661080797,5491.368030304072,9132.767757823545,2019.319365075131,6.0
20,1,HHO,11220.257664782946,4139.838720132713,10444.04666113767,5718.499971510521,8.0
20,1,SCA,13610.370261436325,2760.939347625999,12806.219707028278,7944.074941022547,9.0
20,1,LSHADE,3.1282828179731343e-12,1.03894950143817e-11,1.7053025658242404e-13,0.0,1.0
20,2,EAO,67.59075160329212,24.46473453806738,70.31430225919809,37.70702247695476,4.0
20,2,RS-EAO,47.020918702820815,15.310140352130235,49.08456563223348,2.3064015094002457,1.0
20,2,AS-ABMO,59.316746688224114,18.90601394069749,49.08454410894856,44.895469317452466,3.0
20,2,RUN,462.2278754885362,132.33935817265478,426.36839845413465,271.4049183239663,8.0
20,2,GWO,115.69946451816244,21.57067140359719,114.52909849962418,85.07865455592082,5.0
20,2,WOA,300.0323704959643,126.29941546723853,271.35467659522124,112.43803501243485,6.0
20,2,HHO,434.1775143096162,144.83782124762683,435.23960646027683,231.108356189108,7.0
20,2,SCA,641.0795743503955,181.5841053546509,644.7531900759379,361.95234494550016,9.0
20,2,LSHADE,49.10426705452388,4.276021000516495,49.08447933728837,41.67971934845309,2.0
20,3,EAO,0.0001887608903302862,0.00042258757610700876,5.747187117322028e-05,1.2900039791929885e-06,4.0
20,3,RS-EAO,2.864908310584724e-12,3.4052956130456217e-12,1.9326762412674725e-12,3.410605131648481e-13,3.0
20,3,AS-ABMO,8.48861721654733e-13,1.0444065343101436e-12,4.547473508864641e-13,1.1368683772161603e-13,2.0
20,3,RUN,0.3404967749662395,0.1281903455854628,0.31389345922082157,0.17330803370305148,8.0
20,3,GWO,0.07912916963961909,0.015080357994235731,0.08067898738920576,0.051318226648845666,5.0
20,3,WOA,0.2249042067938376,0.15533355832970225,0.1898523161710841,0.04292917489010506,6.0
20,3,HHO,0.3070839963489561,0.11879167253468488,0.28860464918329853,0.10350051456259735,7.0
20,3,SCA,0.5426379220105787,0.10625405680864518,0.5463648422664278,0.2796192826500601,9.0
20,3,LSHADE,3.789561257387201e-14,5.450866654943912e-14,0.0,0.0,1.0
20,4,EAO,203.5875615978396,25.22556473947702,201.09685060837853,163.04849656696047,5.0
20,4,RS-EAO,195.21466475910492,28.43360258805394,201.99480991341596,96.02124516630806,3.0
20,4,AS-ABMO,125.2,42.39481913695555,121.0,68.0,2.0
20,4,RUN,200.95371329378568,28.51177762320172,193.90870665141773,144.126821665384,4.0
20,4,GWO,210.4901357594202,29.54159336984862,206.7942081763485,152.03188903987052,6.0
20,4,WOA,375.75497352783793,71.00479789043264,376.12656118330847,183.90302060691818,9.0
20,4,HHO,266.5436099855124,58.48136700382453,269.65003304107086,158.8750066162229,7.0
20,4,SCA,286.1435002186306,34.68685310793031,291.3963259052955,148.17712897997126,8.0
20,4,LSHADE,71.08868008212494,12.378702822747483,72.34729431417611,46.59900553556395,1.0
20,5,EAO,0.8453597428444027,0.5993938939624052,0.7546477683777084,0.017009989219786803,3.0
20,5,RS-EAO,0.8063532563105089,0.5593970420269736,0.6781446974942469,3.1820945878280327e-10,2.0
20,5,AS-ABMO,2.1369956391969973,1.7519035137050432,1.497264494882586,2.7966962079517543e-11,5.0
20,5,RUN,3.951222411558429,0.5650992594375702,3.9233708220197627,2.971559522541952,6.0
20,5,GWO,1.5675076170060758,0.9693976337116317,1.2904313612266947,0.6517337185780434,4.0
20,5,WOA,8.345954262375365,2.862784251409403,8.392870309553473,1.910025290882004,9.0
20,5,HHO,4.122631007823979,1.7706287699784617,3.536655058170993,2.3596605536552033,7.0
20,5,SCA,4.937796017486039,0.9510731485331692,5.023052478933948,3.0085895312975026,8.0
20,5,LSHADE,0.06930660255096655,0.1481648128940456,9.350742402602918e-11,1.1368683772161603e-13,1.0
20,6,EAO,47949.82273371863,14072.170859888727,47448.38463872522,21621.127683414154,3.0
20,6,RS-EAO,38900.61975014864,12195.059492037233,39639.52304223628,21938.215004786427,2.0
20,6,AS-ABMO,58829.73706880507,29858.888430267838,54903.15091053688,17250.78594060319,4.0
20,6,RUN,145691239.51751795,115770720.64835821,106748214.82728267,33821707.876958564,8.0
20,6,GWO,41336368.74234891,17647569.065741315,37909618.31963866,12592425.989689508,6.0
20,6,WOA,4878011.863301497,14186259.863074865,158620.30610864537,16726.353050527905,5.0
20,6,HHO,65229729.246402055,105808866.19458993,26166195.582229935,521324.5503884434,7.0
20,6,SCA,551207156.2425303,240396862.37629744,452569707.883566,239541067.84202063,9.0
20,6,LSHADE,26939.040254784573,10520.61227828165,25070.764103749825,10362.054481456573,1.0
20,7,EAO,67.07634027975755,30.408272706462917,57.59985565065426,38.526026356177226,3.0
20,7,RS-EAO,67.95242008746828,38.00686655232704,56.700272765483305,41.551985413531156,4.0
20,7,AS-ABMO,50.72219454098401,30.399431765113324,42.81841548745149,22.20792686246932,2.0
20,7,RUN,744.8601275977198,349.23507250794216,729.1898961565687,194.59858798433334,6.0
20,7,GWO,273.8384660798258,62.773948407515896,257.4869173179791,190.1658548217879,5.0
20,7,WOA,1503.73209778442,638.7364313966802,1514.389259513186,405.9543583403606,8.0
20,7,HHO,1972.3761958778878,1101.7759942375108,1690.354514172075,314.98145037331415,9.0
20,7,SCA,1095.0611462175998,359.5657938911857,1126.9498270505146,468.7981792377723,7.0
20,7,LSHADE,30.135915007734024,3.8740438065813767,28.97199051000166,25.29722621791666,1.0
20,8,EAO,71.37476562905326,89.37292274487356,39.34396601708295,28.376113763441026,3.0
20,8,RS-EAO,60.51504724902967,65.7528916334237,35.00464258688157,27.613709457374625,2.0
20,8,AS-ABMO,931.5769929184382,1175.7340356182692,444.2108545149663,34.158881623225625,4.0
20,8,RUN,2432.3551787800725,1649.6519588548408,1857.1449469266258,1189.9710485070295,5.0
20,8,GWO,9766.65063135515,17024.16914706211,4892.408196760269,1879.1560055975824,8.0
20,8,WOA,3619.037101941203,1805.042468253523,3397.9978292916376,783.035495416274,7.0
20,8,HHO,3454.7539452746714,1873.5651260946834,2896.1806485860416,804.0304954936923,6.0
20,8,SCA,34186786.737240575,63453960.53266268,4967399.805333144,13494.08931068176,9.0
20,8,LSHADE,27.82541975480679,3.337309282392817,26.75163256311498,22.836424959973556,1.0
20,9,EAO,346.5366064199471,8.582083912412145,344.0633401207324,336.23253494008804,4.0
20,9,RS-EAO,335.6556239425746,0.03820565728280557,335.64021648174776,335.638770999979,2.0
20,9,AS-ABMO,343.1202617446915,21.138390930010452,335.6990570045357,335.6387716424442,3.0
20,9,RUN,676.7935016012326,142.03243491581952,683.150954769085,471.2474562344846,7.0
20,9,GWO,408.35041635030717,35.3944108219358,403.39098895793563,368.3178475275672,5.0
20,9,WOA,609.6934385330712,146.35313251138092,578.1670517993487,397.2731859420637,6.0
20,9,HHO,1126.2368670887945,617.3110373608458,1017.255415129524,553.5918271337368,8.0
20,9,SCA,1200.795725684198,194.80188762062096,1193.9227894007859,825.0144292188857,9.0
20,9,LSHADE,335.6388078281389,7.070356434984782e-05,335.6387766860521,335.63877056777756,1.0
20,10,EAO,1379.9037537880904,1700.4160251758242,428.92567914171605,405.35900725737383,3.0
20,10,RS-EAO,1918.1246681519556,1951.191214241826,559.015782920384,406.45241421445417,6.0
20,10,AS-ABMO,1834.1060364986554,745.1550753257751,2087.577062660741,404.7712612798755,5.0
20,10,RUN,1395.2343311656057,1675.1728958437766,524.9586600776636,440.4690284887033,4.0
20,10,GWO,2567.6476459826654,1848.9872511933786,3690.3722580748513,423.1065796789053,7.0
20,10,WOA,2992.8073733428273,1260.0582871817114,3054.126519218784,435.04624063952406,8.0
