alg,fid,dim,seed,f,err,nfe
RS-EAO,2,10,2047,400.0000007921309,7.92130890658882e-07,15030
RS-EAO,2,10,2048,400.0000019302988,1.930298822117038e-06,15030
RS-EAO,2,10,2049,400.11117798590124,0.11117798590123584,15030
RS-EAO,2,10,2050,408.91610192778137,8.91610192778137,15030
RS-EAO,2,10,2051,408.9161019277814,8.916101927781426,15030
RS-EAO,2,10,2052,408.9161019277813,8.916101927781312,15030
RS-EAO,2,10,2053,408.9161019277813,8.916101927781312,15030
RS-EAO,2,10,2054,403.98660833069704,3.986608330697038,15030
RS-EAO,2,10,2055,403.9876550829984,3.987655082998401,15030
RS-EAO,3,10,2026,600.0,0.0,15030
RS-EAO,3,10,2027,600.0,0.0,15030
RS-EAO,3,10,2028,600.0,0.0,15030
RS-EAO,3,10,2029,600.0000000000001,1.1368683772161603e-13,15030
RS-EAO,3,10,2030,600.0000000000001,1.1368683772161603e-13,15030
RS-EAO,3,10,2031,600.0,0.0,15030
RS-EAO,3,10,2032,600.0,0.0,15030
RS-EAO,3,10,2033,600.0000000000001,1.1368683772161603e-13,15030
RS-EAO,3,10,2034,600.0000000000002,2.2737367544323206e-13,15030
RS-EAO,3,10,2035,600.0000000000001,1.1368683772161603e-13,15030
RS-EAO,3,10,2036,600.0,0.0,15030
RS-EAO,3,10,2037,600.0,0.0,15030
RS-EAO,3,10,2038,600.0,0.0,15030
RS-EAO,3,10,2039,600.0000000000001,1.1368683772161603e-13,15030
