function,dim,variant,seed,err,feeds
F52022,10,EAO,1014,6.561805321325664e-06,0
F52022,10,EAO,1015,0.08952834999547576,0
F52022,10,EAO,1016,0.08958648844691197,0
F52022,10,EAO,1017,0.08954738197201095,0
F52022,10,EAO,1018,5.540146867133444e-05,0
F52022,10,EAO,1019,1.519970282970462e-08,0
F52022,10,EAO,1020,3.940044734918047e-09,0
F52022,10,EAO,1021,4.006742290130205e-05,0
F52022,10,EAO,1022,1.968101059901528e-08,0
F52022,10,EAO,1023,2.5290602252425742e-06,0
F52022,10,EAO,1024,8.473806474285084e-07,0
F52022,10,EAO,1025,3.955228487484419e-05,0
F52022,10,EAO,1026,4.445314516487997e-07,0
F52022,10,EAO,1027,0.00010616124757234502,0
F52022,10,EAO,1028,2.8810288767999737e-06,0
F52022,10,EAO,1029,8.511237410857575e-06,0
F52022,10,EAO+M2,1000,1.1368683772161603e-13,0
F52022,10,EAO+M2,1001,1.1368683772161603e-13,0
F52022,10,EAO+M2,1002,3.410605131648481e-13,0
F52022,10,EAO+M2,1003,2.2737367544323206e-13,0
F52022,10,EAO+M2,1004,0.0,0
F52022,10,EAO+M2,1005,1.1368683772161603e-13,0
F52022,10,EAO+M2,1006,1.1368683772161603e-13,0
F52022,10,EAO+M2,1007,0.08952825041649248,0
F52022,10,EAO+M2,1008,0.0,0
F52022,10,EAO+M2,1009,3.410605131648481e-13,0
F52022,10,EAO+M2,1010,2.2737367544323206e-13,0
F52022,10,EAO+M2,1011,0.0,0
F52022,10,EAO+M2,1012,1.1368683772161603e-13,0
F52022,10,EAO+M2,1013,2.2737367544323206e-13,0
F52022,10,EAO+M2,1014,2.2737367544323206e-13,0
F52022,10,EAO+M2,1015,1.1368683772161603e-13,0
F52022,10,EAO+M2,1016,1.1368683772161603e-13,0
F52022,10,EAO+M2,1017,1.1368683772161603e-13,0
F52022,10,EAO+M2,1018,0.0,0
F52022,10,EAO+M2,1019,1.1368683772161603e-13,0
F52022,10,EAO+M2,1020,0.0,0
F52022,10,EAO+M2,1021,1.1368683772161603e-13,0
