problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
truss,1029,263.89584337646835,0.0,45030,"[0.7886751375135547, 0.40824828220841414]",9,14991,9,2190,500
cantilever,1000,1.339956361205238,0.0,45030,"[6.0159618442028755, 5.309085667665797, 4.494411030033453, 3.501544794304772, 2.152656298492431]",73,14927,0,9375,500
cantilever,1001,1.3399563605990743,0.0,45030,"[6.016015890908947, 5.309173887063082, 4.494329584947602, 3.501474940719447, 2.152665321346093]",48,14952,0,3632,500
cantilever,1002,1.3399563605993448,0.0,45030,"[6.01601810014534, 5.309172789303638, 4.494327479859389, 3.5014754659550613, 2.152665789726077]",49,14951,0,8807,500
cantilever,1003,1.3399563606624718,0.0,45030,"[6.0160319123220924, 5.309176812139229, 4.4942887860507, 3.501484946684955, 2.1526771688041757]",51,14949,0,9221,500
cantilever,1004,1.3399563605990745,0.0,45030,"[6.016015882769444, 5.30917377352163, 4.494329614789696, 3.501475030358284, 2.1526653235461213]",46,14954,0,4126,500
cantilever,1005,1.3399563605991014,0.0,45030,"[6.016015091044501, 5.309173939883344, 4.494330163789788, 3.5014748604835813, 2.1526655697843884]",52,14948,0,8004,500
cantilever,1006,1.3399563607521883,0.0,45030,"[6.01605841110321, 5.309124589920371, 4.494366655574817, 3.5014570471024387, 2.1526529237380774]",44,14956,0,9118,500
cantilever,1007,1.3399563605993359,0.0,45030,"[6.016014035619233, 5.309175398134393, 4.494329690206642, 3.501473902922248, 2.1526665981068493]",49,14951,0,6774,500
cantilever,1008,1.3399563784735744,0.0,45030,"[6.015976766405042, 5.3092339083559335, 4.49390974342004, 3.5014061490993873, 2.153133344155083]",57,14943,0,9384,500
cantilever,1009,1.3399563605990743,0.0,45030,"[6.016015886105966, 5.30917384538163, 4.49432959861432, 3.5014749751769125, 2.152665319706342]",29,14971,0,3515,500
cantilever,1010,1.3399563612587027,0.0,45030,"[6.016043857167338, 5.3092298314010495, 4.494374562722156, 3.5013555500049383, 2.1526558342606497]",38,14962,0,9239,500
cantilever,1011,1.3399563605991023,0.0,45030,"[6.016015980381724, 5.309173945860391, 4.494329152016327, 3.501475601189047, 2.1526649455381293]",61,14939,0,6317,500
cantilever,1012,1.3399563663873337,0.0,45030,"[6.0159063140659805, 5.309238580943367, 4.494477926121142, 3.501189425428128, 2.152847471187115]",63,14937,0,9136,500
cantilever,1013,1.3399563606020926,0.0,45030,"[6.016020207134745, 5.309165734627048, 4.494328130314062, 3.5014803271959294, 2.1526652257617522]",72,14928,0,8812,500
cantilever,1014,1.3399563649208448,0.0,45030,"[6.016165105885849, 5.308865065124164, 4.494547283261918, 3.50148834788416, 2.1525938920882157]",43,14957,0,9186,500
cantilever,1015,1.3399563605990743,0.0,45030,"[6.016015888157226, 5.309173854612304, 4.494329597357869, 3.501474958655728, 2.152665326202042]",68,14932,0,3609,500
cantilever,1016,1.3399563629986804,0.0,45030,"[6.0161757607023425, 5.309191758289681, 4.49412951494393, 3.5013999218122525, 2.1527627076921845]",53,14947,0,9283,500
cantilever,1017,1.3399563605991398,0.0,45030,"[6.016015705608408, 5.309173300063499, 4.4943288963605434, 3.5014758616098103, 2.1526658613439595]",58,14942,0,5141,500
cantilever,1018,1.3399563605991525,0.0,45030,"[6.016015144616885, 5.30917475597858, 4.4943294712283945, 3.5014742317512333, 2.152666021411329]",71,14929,0,3944,500
cantilever,1019,1.3399563605990743,0.0,45030,"[6.016015871219372, 5.309173853714141, 4.494329574557274, 3.5014749914212477, 2.152665334073136]",75,14925,0,3631,500
cantilever,1020,1.3399563612280672,0.0,45030,"[6.015982176491319, 5.309297430475355, 4.494253009366424, 3.5014959401986396, 2.1526310785334375]",53,14947,0,9122,500
cantilever,1021,1.3399563605990987,0.0,45030,"[6.016015556921988, 5.309173957101811, 4.494330253828413, 3.5014749194757946, 2.1526649376575566]",55,14945,0,4738,500
cantilever,1022,1.3399563606711895,0.0,45030,"[6.016013384069901, 5.309182638107224, 4.494359988730759, 3.501439688081587, 2.1526639271513863]",53,14947,0,9409,500
cantilever,1023,1.3399563605993017,0.0,45030,"[6.0160175299916245, 5.309172914904218, 4.494330498501005, 3.501473107544276, 2.1526655740476897]",62,14938,0,6995,500
cantilever,1024,1.3399563605998976,0.0,45030,"[6.016013442246646, 5.3091750950331305, 4.494329372961404, 3.5014732784674734, 2.152668436289713]",68,14932,0,6447,500
