function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F22022,10,M1a_Km0.3,1015,0.052611693809410554,,,,
F22022,10,M1a_Km0.3,1016,8.916101927813884,,,,
F22022,10,M1a_Km0.3,1017,8.270269017884857e-05,,,,
F22022,10,M1a_Km0.3,1018,5.193277477506854,,,,
F22022,10,M1a_Km0.3,1019,0.4544429781605004,,,,
F22022,10,M1a_Km0.3,1020,67.02365995746231,,,,
F22022,10,M1a_Km0.3,1021,8.916101944502486,,,,
F22022,10,M1a_Km0.3,1022,8.916101927781483,,,,
F22022,10,M1a_Km0.3,1023,8.916101927781426,,,,
F22022,10,M1a_Km0.3,1024,6.829711888048394,,,,
F22022,10,M1a_Km0.3,1025,8.916101927782222,,,,
F22022,10,M1a_Km0.3,1026,5.616320913284426,,,,
F22022,10,M1a_Km0.3,1027,3.9872391125982176,,,,
F22022,10,M1a_Km0.3,1028,0.06832931893006844,,,,
F22022,10,M1a_Km0.3,1029,5.4697518036718975,,,,
F22022,10,M1a_Km1.0,1000,0.010512430718051746,,,,
F22022,10,M1a_Km1.0,1001,0.24152829911759,,,,
F22022,10,M1a_Km1.0,1002,8.91610192778137,,,,
F22022,10,M1a_Km1.0,1003,0.01618235995277928,,,,
F22022,10,M1a_Km1.0,1004,0.07410236270288806,,,,
F22022,10,M1a_Km1.0,1005,8.91610192778137,,,,
F22022,10,M1a_Km1.0,1006,6.29634546596111,,,,
F22022,10,M1a_Km1.0,1007,4.774217538113362,,,,
F22022,10,M1a_Km1.0,1008,8.916101927782108,,,,
F22022,10,M1a_Km1.0,1009,0.0025251462141113734,,,,
F22022,10,M1a_Km1.0,1010,0.5210433399901149,,,,
F22022,10,M1a_Km1.0,1011,8.91610192778171,,,,
F22022,10,M1a_Km1.0,1012,5.536633138501088,,,,
F22022,10,M1a_Km1.0,1013,8.916101928604974,,,,
F22022,10,M1a_Km1.0,1014,4.6030565113962325,,,,
F22022,10,M1a_Km1.0,1015,6.614222710913509,,,,
F22022,10,M1a_Km1.0,1016,0.0020917716730082248,,,,
F22022,10,M1a_Km1.0,1017,3.9925080277212714,,,,
F22022,10,M1a_Km1.0,1018,4.0022944440200945,,,,
F22022,10,M1a_Km1.0,1019,4.164148561123056,,,,
F22022,10,M1a_Km1.0,1020,8.916101927781483,,,,
F22022,10,M1a_Km1.0,1021,8.916101927782165,,,,
F22022,10,M1a_Km1.0,1022,8.916104454441154,,,,
F22022,10,M1a_Km1.0,1023,0.0014865639248000662,,,,
F22022,10,M1a_Km1.0,1024,5.386244662296349,,,,
F22022,10,M1a_Km1.0,1025,0.5406542132803906,,,,
F22022,10,M1a_Km1.0,1026,6.367087438988733,,,,
F22022,10,M1a_Km1.0,1027,4.566294006998191,,,,
F22022,10,M1a_Km1.0,1028,0.258182374717137,,,,
F22022,10,M1a_Km1.0,1029,8.916101927781483,,,,
F22022,10,M1a_Km3.0,1000,0.05271866522195978,,,,
F22022,10,M1a_Km3.0,1001,8.916101927783473,,,,
F22022,10,M1a_Km3.0,1002,0.022174561537212867,,,,
F22022,10,M1a_Km3.0,1003,0.3434149046951802,,,,
F22022,10,M1a_Km3.0,1004,8.916101928444846,,,,
F22022,10,M1a_Km3.0,1005,8.916101927781426,,,,
F22022,10,M1a_Km3.0,1006,8.916101927781654,,,,
F22022,10,M1a_Km3.0,1007,7.556434799949557,,,,
F22022,10,M1a_Km3.0,1008,5.818078088074515,,,,
F22022,10,M1a_Km3.0,1009,0.29306009005028955,,,,
F22022,10,M1a_Km3.0,1010,0.38788593800006765,,,,
F22022,10,M1a_Km3.0,1011,4.237361719822218,,,,
F22022,10,M1a_Km3.0,1012,5.9563458464773475,,,,
F22022,10,M1a_Km3.0,1013,0.012211244425827772,,,,
F22022,10,M1a_Km3.0,1014,5.746687720445436,,,,
F22022,10,M1a_Km3.0,1015,8.91610192778154,,,,
F22022,10,M1a_Km3.0,1016,0.4800907923013824,,,,
F22022,10,M1a_Km3.0,1017,17.395342216048846,,,,
F22022,10,M1a_Km3.0,1018,8.916101927781597,,,,
F22022,10,M1a_Km3.0,1019,68.09802339873312,,,,
F22022,10,M1a_Km3.0,1020,0.054911067648504286,,,,
F22022,10,M1a_Km3.0,1021,4.000119185031906,,,,
F22022,10,M1a_Km3.0,1022,8.916101927836223,,,,
F22022,10,M1a_Km3.0,1023,0.003743147820273407,,,,
F22022,10,M1a_Km3.0,1024,5.614602857027705,,,,
F22022,10,M1a_Km3.0,1025,0.0008739005757547602,,,,
F22022,10,M1a_Km3.0,1026,0.12335325826705912,,,,
F22022,10,M1a_Km3.0,1027,74.45230080567279,,,,
F22022,10,M1a_Km3.0,1028,4.071471398149356,,,,
F22022,10,M1a_Km3.0,1029,8.916101927781483,,,,
F32022,10,M1a_Km0.1,1000,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1001,3.410605131648481e-13,,,,
F32022,10,M1a_Km0.1,1002,2.2737367544323206e-13,,,,
F32022,10,M1a_Km0.1,1003,5.684341886080801e-13,,,,
F32022,10,M1a_Km0.1,1004,1.1368683772161603e-13,,,,
