t,AF,variant
469,0.96850400102426,EAO+M2
470,0.9695359714832658,EAO+M2
471,0.9705668446840743,EAO+M2
472,0.9715966241192895,EAO+M2
473,0.9726253132630263,EAO+M2
474,0.9736529155710468,EAO+M2
475,0.9746794344808963,EAO+M2
476,0.9757048734120374,EAO+M2
477,0.9767292357659824,EAO+M2
478,0.9777525249264253,EAO+M2
479,0.9787747442593725,EAO+M2
480,0.9797958971132712,EAO+M2
481,0.9808159868191383,EAO+M2
482,0.9818350166906862,EAO+M2
483,0.9828529900244491,EAO+M2
484,0.9838699100999074,EAO+M2
485,0.9848857801796105,EAO+M2
486,0.985900603509299,EAO+M2
487,0.9869143833180262,EAO+M2
488,0.9879271228182775,EAO+M2
489,0.9889388252060892,EAO+M2
490,0.9899494936611666,EAO+M2
491,0.9909591313469996,EAO+M2
492,0.9919677414109795,EAO+M2
493,0.9929753269845127,EAO+M2
494,0.9939818911831342,EAO+M2
495,0.99498743710662,EAO+M2
496,0.9959919678390986,EAO+M2
497,0.9969954864491614,EAO+M2
498,0.997997995989972,EAO+M2
499,0.9989994994993742,EAO+M2
500,1.0,EAO+M2
