function,dim,variant,seed,err,iters,c1_acc,c2_acc
F22022,10,c2only|orig,1000,8.91610192778677,250,0,5576
F22022,10,c2only|orig,1001,8.916101927781767,249,0,4620
F22022,10,c2only|orig,1002,5.760313913917969,250,0,5540
F22022,10,c2only|orig,1003,8.91610192778137,249,0,4720
F22022,10,c2only|orig,1004,0.04691168290656833,250,0,5737
F22022,10,c2only|orig,1005,8.916101995780537,250,0,5845
F22022,10,c2only|orig,1006,5.806335327615955,250,0,4940
F22022,10,c2only|orig,1007,5.320267547019114,250,0,5445
F22022,10,c2only|orig,1008,8.916101927879083,250,0,5186
F22022,10,c2only|orig,1009,0.0011540616392267111,250,0,4870
F22022,10,c2only|orig,1010,8.916101927830255,250,0,5608
F22022,10,c2only|orig,1011,5.675783302848799,250,0,5914
F22022,10,c2only|orig,1012,8.91610192778171,250,0,5109
F22022,10,c2only|orig,1013,3.9865840426925274,250,0,5358
F22022,10,c2only|orig,1014,8.91610192778137,249,0,4256
F22022,10,c2only|orig,1015,8.916109096525247,250,0,5899
F22022,10,c2only|orig,1016,8.916101927781426,249,0,4604
F22022,10,c2only|orig,1017,0.2849036989582032,250,0,5397
F22022,10,c2only|orig,1018,5.014300654693216e-07,250,0,5217
F22022,10,c2only|orig,1019,0.06244908230740975,250,0,5754
F22022,10,c2only|orig,1020,8.916101927782393,250,0,5520
F22022,10,c2only|orig,1021,0.14819216359194343,250,0,5672
F22022,10,c2only|orig,1022,6.422163826328244,250,0,5623
F22022,10,c2only|orig,1023,8.91610192778694,250,0,5611
F22022,10,c2only|orig,1024,3.9975884914820767,250,0,4677
F22022,10,c2only|orig,1025,4.138464021015864,250,0,5095
F22022,10,c2only|orig,1026,8.916101927781483,249,0,4239
F22022,10,c2only|orig,1027,5.824869492783193,250,0,5899
F22022,10,c2only|orig,1028,8.916101927781767,249,0,5393
F22022,10,c2only|orig,1029,8.91610192778171,249,0,5220
F32022,10,code3|orig,1000,1.1368683772161603e-13,166,33,2879
F32022,10,code3|orig,1001,0.0,166,33,2503
F32022,10,code3|orig,1002,1.1368683772161603e-13,166,27,2689
F32022,10,code3|orig,1003,1.1368683772161603e-13,166,29,3463
F32022,10,code3|orig,1004,4.547473508864641e-13,166,29,2953
F32022,10,code3|orig,1005,2.2737367544323206e-13,166,26,3222
F32022,10,code3|orig,1006,1.0231815394945443e-12,166,28,3143
F32022,10,code3|orig,1007,5.684341886080801e-13,166,31,3175
F32022,10,code3|orig,1008,6.821210263296962e-13,166,45,3650
F32022,10,code3|orig,1009,2.2737367544323206e-13,166,41,2927
F32022,10,code3|orig,1010,1.2846612662542611e-11,166,30,3535
F32022,10,code3|orig,1011,6.821210263296962e-13,166,34,2726
F32022,10,code3|orig,1012,5.684341886080801e-13,166,24,2629
F32022,10,code3|orig,1013,9.094947017729282e-13,166,35,2898
F32022,10,code3|orig,1014,5.684341886080801e-13,166,39,2776
F32022,10,code3|orig,1015,1.1368683772161603e-13,166,40,2783
F32022,10,code3|orig,1016,5.684341886080801e-13,166,24,3120
F32022,10,code3|orig,1017,3.410605131648481e-13,166,50,3296
F32022,10,code3|orig,1018,9.094947017729282e-13,166,28,3679
F32022,10,code3|orig,1019,1.1368683772161603e-13,166,29,3165
F32022,10,code3|orig,1020,4.547473508864641e-13,166,38,3744
F32022,10,code3|orig,1021,5.684341886080801e-13,166,32,3271
F32022,10,code3|orig,1022,3.410605131648481e-12,166,30,3813
F32022,10,code3|orig,1023,1.1368683772161603e-13,166,29,3000
F32022,10,code3|orig,1024,2.2737367544323206e-13,166,36,3016
F32022,10,code3|orig,1025,1.1368683772161603e-13,166,44,2963
F32022,10,code3|orig,1026,4.547473508864641e-13,166,36,2832
F32022,10,code3|orig,1027,3.410605131648481e-13,166,39,2765
F32022,10,code3|orig,1028,5.684341886080801e-13,166,28,3535
F32022,10,code3|orig,1029,4.547473508864641e-13,166,32,3239
F32022,10,code3|centroid,1000,1.1368683772161603e-13,166,1153,1128
F32022,10,code3|centroid,1001,0.0,166,1194,1104
F32022,10,code3|centroid,1002,0.0,166,1202,1093
F32022,10,code3|centroid,1003,1.1368683772161603e-13,166,1228,1166
F32022,10,code3|centroid,1004,0.0,166,1135,1234
F32022,10,code3|centroid,1005,1.1368683772161603e-13,166,1159,1127
F32022,10,code3|centroid,1006,0.0,166,1175,1172
F32022,10,code3|centroid,1007,1.1368683772161603e-13,166,1175,1163
F32022,10,code3|centroid,1008,1.1368683772161603e-13,166,1177,1175
F32022,10,code3|centroid,1009,0.0,166,1160,1118
F32022,10,code3|centroid,1010,1.1368683772161603e-13,166,1127,1116
F32022,10,code3|centroid,1011,0.0,166,1213,1188
