function,dim,variant,seed,err
F52022,10,RS-EAO(sched),1010,2.2737367544323206e-13
F52022,10,RS-EAO(sched),1011,0.0
F52022,10,RS-EAO(sched),1012,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1013,0.08952825041660617
F52022,10,RS-EAO(sched),1014,4.547473508864641e-13
F52022,10,RS-EAO(sched),1015,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1016,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1017,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1018,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1019,2.2737367544323206e-13
F52022,10,RS-EAO(sched),1020,0.08952825041649248
F52022,10,RS-EAO(sched),1021,0.08952825041671986
F52022,10,RS-EAO(sched),1022,0.08952825041694723
F52022,10,RS-EAO(sched),1023,0.0
F52022,10,RS-EAO(sched),1024,0.08952825041649248
F52022,10,RS-EAO(sched),1025,0.08952825041649248
F52022,10,RS-EAO(sched),1026,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1027,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1028,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1029,0.0
F62022,10,EAO,1000,1161.4641708763902
F62022,10,EAO,1001,4783.648617549872
F62022,10,EAO,1002,760.910257052497
F62022,10,EAO,1003,5601.786473205293
F62022,10,EAO,1004,9967.316461097087
F62022,10,EAO,1005,796.2557246736669
F62022,10,EAO,1006,616.4178370165346
F62022,10,EAO,1007,4099.5182147247715
F62022,10,EAO,1008,435.4883345669673
F62022,10,EAO,1009,2250.8717363551214
F62022,10,EAO,1010,3219.70951456683
F62022,10,EAO,1011,7788.061818008167
F62022,10,EAO,1012,10709.65417763891
F62022,10,EAO,1013,1943.192064170531
F62022,10,EAO,1014,1768.3038792334355
F62022,10,EAO,1015,16386.9111137209
F62022,10,EAO,1016,4001.1858249925044
F62022,10,EAO,1017,2512.446068102752
F62022,10,EAO,1018,6213.913558392813
F62022,10,EAO,1019,1052.4799201987153
F62022,10,EAO,1020,2163.594349625707
F62022,10,EAO,1021,1226.1797509418766
F62022,10,EAO,1022,2522.8207983091606
F62022,10,EAO,1023,422.50277094701187
F62022,10,EAO,1024,1404.8563625062352
F62022,10,EAO,1025,1798.1596394102835
F62022,10,EAO,1026,1561.319405543656
F62022,10,EAO,1027,6854.29455060605
F62022,10,EAO,1028,653.7615014644143
F62022,10,EAO,1029,83.93626826948412
F62022,10,RS-EAO(centroid),1000,93.9419697415392
F62022,10,RS-EAO(centroid),1001,543.4612687468589
F62022,10,RS-EAO(centroid),1002,915.5886380638503
F62022,10,RS-EAO(centroid),1003,18261.32041004486
F62022,10,RS-EAO(centroid),1004,581.8851225905655
F62022,10,RS-EAO(centroid),1005,174.7007167157094
F62022,10,RS-EAO(centroid),1006,906.034885108646
F62022,10,RS-EAO(centroid),1007,2365.2381426283064
F62022,10,RS-EAO(centroid),1008,110.26860324932318
F62022,10,RS-EAO(centroid),1009,42.01372988940625
F62022,10,RS-EAO(centroid),1010,465.072598600726
F62022,10,RS-EAO(centroid),1011,516.3804263132279
F62022,10,RS-EAO(centroid),1012,93.69115806473997
F62022,10,RS-EAO(centroid),1013,906.5004365004156
F62022,10,RS-EAO(centroid),1014,32.964352158151996
F62022,10,RS-EAO(centroid),1015,1709.7166532790143
F62022,10,RS-EAO(centroid),1016,2148.125580460415
F62022,10,RS-EAO(centroid),1017,46.68805246138436
F62022,10,RS-EAO(centroid),1018,271.6315401434981
F62022,10,RS-EAO(centroid),1019,285.34620038120283
F62022,10,RS-EAO(centroid),1020,37.30593599098643
F62022,10,RS-EAO(centroid),1021,351.6332510712932
F62022,10,RS-EAO(centroid),1022,229.2275196083849
F62022,10,RS-EAO(centroid),1023,68.2835589788383
F62022,10,RS-EAO(centroid),1024,182.59159875958676
F62022,10,RS-EAO(centroid),1025,1700.1734611884176
F62022,10,RS-EAO(centroid),1026,1524.9747967207722
F62022,10,RS-EAO(centroid),1027,2689.1169355257352
F62022,10,RS-EAO(centroid),1028,2641.9118947759707
F62022,10,RS-EAO(centroid),1029,1328.5211773529672
F62022,10,RS-EAO(sched),1000,1172.7565658768872
F62022,10,RS-EAO(sched),1001,3452.3022597420077
F62022,10,RS-EAO(sched),1002,103.59061271132646
F62022,10,RS-EAO(sched),1003,371.1866467755244
F62022,10,RS-EAO(sched),1004,71.77790340308457
F62022,10,RS-EAO(sched),1005,642.7096124038217
F62022,10,RS-EAO(sched),1006,71.23886980153702
F62022,10,RS-EAO(sched),1007,264.4346972182443
F62022,10,RS-EAO(sched),1008,2381.881577570726
F62022,10,RS-EAO(sched),1009,108.02545684031975
F62022,10,RS-EAO(sched),1010,376.51403409845443
F62022,10,RS-EAO(sched),1011,1741.5462755622948
F62022,10,RS-EAO(sched),1012,3820.6310252640433
F62022,10,RS-EAO(sched),1013,1944.5016575964369
F62022,10,RS-EAO(sched),1014,58.25266764514663
F62022,10,RS-EAO(sched),1015,314.65475931360015
F62022,10,RS-EAO(sched),1016,97.00847312455676
F62022,10,RS-EAO(sched),1017,525.8080615952431
F62022,10,RS-EAO(sched),1018,224.02854710288466
F62022,10,RS-EAO(sched),1019,1595.2084653206875
F62022,10,RS-EAO(sched),1020,904.1469273480507
F62022,10,RS-EAO(sched),1021,2326.2838149609724
