alg,fid,dim,seed,sec
HHO,11,10,2030,1.9246288220165297
HHO,12,10,2026,1.9082557670772076
HHO,12,10,2027,1.8240400899667293
HHO,12,10,2028,1.9228825970785692
HHO,12,10,2029,1.8718000289518386
HHO,12,10,2030,1.7769761700183153
SCA,1,10,2026,1.1195073479320854
SCA,1,10,2027,1.4236242899205536
SCA,1,10,2028,1.2332538419868797
SCA,1,10,2029,1.104314693948254
SCA,1,10,2030,1.0464331089751795
SCA,2,10,2026,1.0483530049677938
SCA,2,10,2027,1.3454563729465008
SCA,2,10,2028,1.136922913021408
SCA,2,10,2029,1.4530175500549376
SCA,2,10,2030,1.26027028192766
SCA,3,10,2026,1.5984608889557421
SCA,3,10,2027,1.3643321830313653
SCA,3,10,2028,1.5960809080861509
SCA,3,10,2029,1.3565772409783676
SCA,3,10,2030,1.4488148919772357
SCA,4,10,2026,1.7188094810117036
SCA,4,10,2027,1.7881995589705184
SCA,4,10,2028,1.6875603090738878
SCA,4,10,2029,1.7178997009759769
SCA,4,10,2030,1.5887665529735386
SCA,5,10,2026,1.3336105239577591
SCA,5,10,2027,1.2662338459631428
SCA,5,10,2028,1.2838727129856125
SCA,5,10,2029,1.1615302179707214
SCA,5,10,2030,1.2478058590786532
SCA,6,10,2026,1.5896936749340966
SCA,6,10,2027,1.445540830027312
SCA,6,10,2028,1.2963497609598562
SCA,6,10,2029,1.296138911973685
SCA,6,10,2030,1.3554635770851746
SCA,7,10,2026,3.8111591389169917
SCA,7,10,2027,4.034188108984381
SCA,7,10,2028,4.121539674932137
SCA,7,10,2029,4.072280678898096
SCA,7,10,2030,3.722085631918162
SCA,8,10,2026,5.1223876510048285
SCA,8,10,2027,4.922412283951417
SCA,8,10,2028,5.127986129024066
SCA,8,10,2029,5.156298231915571
SCA,8,10,2030,4.830451213056222
SCA,9,10,2026,1.9705986540066078
SCA,9,10,2027,1.866038735024631
SCA,9,10,2028,1.8223940809257329
SCA,9,10,2029,2.073293316992931
SCA,9,10,2030,2.1111560539575294
SCA,10,10,2026,1.9994838429847732
SCA,10,10,2027,1.8938295369734988
SCA,10,10,2028,2.084204002050683
SCA,10,10,2029,2.1262698699720204
SCA,10,10,2030,2.1090729059651494
SCA,11,10,2026,2.7959231169661507
SCA,11,10,2027,2.597640900989063
SCA,11,10,2028,2.4777321140281856
SCA,11,10,2029,2.6566677700029686
SCA,11,10,2030,2.852138474001549
SCA,12,10,2026,2.5077139530330896
SCA,12,10,2027,2.70806147006806
SCA,12,10,2028,2.7245479580014944
SCA,12,10,2029,3.03464927803725
SCA,12,10,2030,2.7202134849503636
LSHADE,1,10,2026,1.2874422589084134
LSHADE,1,10,2027,1.3222036740044132
LSHADE,1,10,2028,1.3021058359881863
LSHADE,1,10,2029,1.2405922909965739
LSHADE,1,10,2030,1.2933777290163562
LSHADE,2,10,2026,1.2891476380173117
LSHADE,2,10,2027,1.3922483409987763
LSHADE,2,10,2028,1.4611243460094556
LSHADE,2,10,2029,1.399203806067817
LSHADE,2,10,2030,1.4805661130230874
LSHADE,3,10,2026,1.7510127070127055
LSHADE,3,10,2027,1.5039518920239061
LSHADE,3,10,2028,1.6011270260205492
LSHADE,3,10,2029,1.6461963340407237
LSHADE,3,10,2030,1.6354276470374316
LSHADE,4,10,2026,1.7756769380066544
LSHADE,4,10,2027,1.927503797924146
LSHADE,4,10,2028,1.9427731219911948
LSHADE,4,10,2029,1.898786275065504
LSHADE,4,10,2030,1.8088129630777985
LSHADE,5,10,2026,1.4922200539149344
LSHADE,5,10,2027,1.4094324660254642
LSHADE,5,10,2028,1.5029355389997363
LSHADE,5,10,2029,1.5874014999717474
LSHADE,5,10,2030,1.6067981889937073
LSHADE,6,10,2026,1.5850943919504061
LSHADE,6,10,2027,1.7573433930519968
LSHADE,6,10,2028,1.429334158077836
LSHADE,6,10,2029,1.4349560108967125
LSHADE,6,10,2030,1.465206513996236
LSHADE,7,10,2026,4.326556582935154
LSHADE,7,10,2027,4.145532993949018
LSHADE,7,10,2028,4.1359673659317195
LSHADE,7,10,2029,4.049198004999198
LSHADE,7,10,2030,4.211078122025356
LSHADE,8,10,2026,5.418568886932917
LSHADE,8,10,2027,5.156018498004414
LSHADE,8,10,2028,5.52360828302335
LSHADE,8,10,2029,5.124006449012086
LSHADE,8,10,2030,5.214193457970396
LSHADE,9,10,2026,2.223867387045175
LSHADE,9,10,2027,2.2785727380542085
LSHADE,9,10,2028,2.066033281967975
LSHADE,9,10,2029,2.2558604259975255
LSHADE,9,10,2030,2.3122373518999666
LSHADE,10,10,2026,2.2246242249384522
LSHADE,10,10,2027,2.250240913941525
LSHADE,10,10,2028,2.2774114459753036
LSHADE,10,10,2029,2.1868650160031393
LSHADE,10,10,2030,2.13025148503948
LSHADE,11,10,2026,2.7456373979803175
LSHADE,11,10,2027,2.6112367359455675
LSHADE,11,10,2028,2.7714968590298668
LSHADE,11,10,2029,2.8843973260372877
LSHADE,11,10,2030,3.064991686027497
LSHADE,12,10,2026,3.004242219030857
LSHADE,12,10,2027,3.0889106530230492
LSHADE,12,10,2028,2.8995321160182357
LSHADE,12,10,2029,2.8696034220047295
LSHADE,12,10,2030,3.018954985891469
EAO,1,20,2026,0.23110881296452135
EAO,1,20,2027,0.23278295004274696
EAO,1,20,2028,0.2518334579654038
EAO,1,20,2029,0.26406797592062503
EAO,1,20,2030,0.2785937050357461
EAO,2,20,2026,0.2802407629787922
EAO,2,20,2027,0.30606938002165407
EAO,2,20,2028,0.3347433569142595
EAO,2,20,2029,0.27750235598068684
EAO,2,20,2030,0.3673313349718228
EAO,3,20,2026,0.48328862502239645
EAO,3,20,2027,0.4366484289057553
EAO,3,20,2028,0.4593650249298662
EAO,3,20,2029,0.43395227298606187
EAO,3,20,2030,0.5478051760001108
EAO,4,20,2026,0.6899995579151437
EAO,4,20,2027,0.6847268749261275
EAO,4,20,2028,0.6387418110389262
EAO,4,20,2029,0.6017283829860389
EAO,4,20,2030,0.6631529139121994
EAO,5,20,2026,0.33702045399695635
EAO,5,20,2027,0.3461380599765107
EAO,5,20,2028,0.46264455595519394
EAO,5,20,2029,0.4548239299328998
EAO,5,20,2030,0.34384873206727207
EAO,6,20,2026,0.36012528801802546
EAO,6,20,2027,0.4211928478907794
EAO,6,20,2028,0.39694897597655654
EAO,6,20,2029,0.3661562049528584
EAO,6,20,2030,0.4039930320577696
EAO,7,20,2026,4.937515291036107
EAO,7,20,2027,4.881794171058573
EAO,7,20,2028,4.592379432055168
EAO,7,20,2029,5.026464671944268
EAO,7,20,2030,4.704563120962121
EAO,8,20,2026,6.753433850943111
EAO,8,20,2027,6.475719691021368
EAO,8,20,2028,6.483939133933745
EAO,8,20,2029,6.832712474977598
EAO,8,20,2030,6.581117935013026
EAO,9,20,2026,0.9979920909972861
EAO,9,20,2027,0.9603959179949015
EAO,9,20,2028,0.9441357780015096
EAO,9,20,2029,0.96545050595887
EAO,9,20,2030,0.9786065319785848
EAO,10,20,2026,1.0144305740250275
EAO,10,20,2027,1.0147770129842684
EAO,10,20,2028,1.0683691059239209
EAO,10,20,2029,0.9637810449348763
EAO,10,20,2030,1.097745805978775
EAO,11,20,2026,1.6469668000936508
EAO,11,20,2027,1.5689114520791918
EAO,11,20,2028,1.580899031017907
EAO,11,20,2029,1.7189122840063646
EAO,11,20,2030,1.4753583329729736
EAO,12,20,2026,1.7874096209416166
EAO,12,20,2027,1.699736553011462
EAO,12,20,2028,1.679207164910622
EAO,12,20,2029,1.6367532080039382
EAO,12,20,2030,1.5807605979498476
RS-EAO,1,20,2026,0.25963141792453825
RS-EAO,1,20,2027,0.3049296180251986
RS-EAO,1,20,2028,0.2624251199886203
RS-EAO,1,20,2029,0.3296226990642026
RS-EAO,1,20,2030,0.30771931097842753
RS-EAO,2,20,2026,0.3558324569603428
RS-EAO,2,20,2027,0.3570565270492807
RS-EAO,2,20,2028,0.3286594720557332
RS-EAO,2,20,2029,0.40983907296322286
RS-EAO,2,20,2030,0.36416571505833417
RS-EAO,3,20,2026,0.5000614749733359
RS-EAO,3,20,2027,0.477984193013981
RS-EAO,3,20,2028,0.547686017001979
RS-EAO,3,20,2029,0.5084645529277623
RS-EAO,3,20,2030,0.5035568090388551
RS-EAO,4,20,2026,0.7088511800393462
RS-EAO,4,20,2027,0.7277497870381922
RS-EAO,4,20,2028,0.6788492490304634
RS-EAO,4,20,2029,0.6651944650802761
RS-EAO,4,20,2030,0.791388112003915
RS-EAO,5,20,2026,0.44303095899522305
RS-EAO,5,20,2027,0.47496607806533575
RS-EAO,5,20,2028,0.43890109192579985
RS-EAO,5,20,2029,0.40046778798568994
RS-EAO,5,20,2030,0.4116639440180734
RS-EAO,6,20,2026,0.49198286002501845
RS-EAO,6,20,2027,0.44445202103815973
RS-EAO,6,20,2028,0.5500982119701803
RS-EAO,6,20,2029,0.4098356330068782
RS-EAO,6,20,2030,0.5141182530205697
RS-EAO,7,20,2026,5.040157641051337
RS-EAO,7,20,2027,4.633663804968819
RS-EAO,7,20,2028,4.560925877070986
RS-EAO,7,20,2029,4.93348988192156
RS-EAO,7,20,2030,4.992531946976669
RS-EAO,8,20,2026,6.70255431602709
RS-EAO,8,20,2027,6.493337715044618
RS-EAO,8,20,2028,6.876803116057999
RS-EAO,8,20,2029,6.6905304020037875
RS-EAO,8,20,2030,6.8132313339738175
RS-EAO,9,20,2026,1.0758464169921353
RS-EAO,9,20,2027,1.0673055939842016
RS-EAO,9,20,2028,0.9963605729863048
RS-EAO,9,20,2029,1.01131686498411
RS-EAO,9,20,2030,1.1406624400988221
RS-EAO,10,20,2026,1.135051474091597
RS-EAO,10,20,2027,1.0350700969574973
RS-EAO,10,20,2028,1.1160507840104401
RS-EAO,10,20,2029,0.9901099579874426
RS-EAO,10,20,2030,1.0177486559841782
RS-EAO,11,20,2026,1.690201151999645
RS-EAO,11,20,2027,1.7232482659164816
RS-EAO,11,20,2028,1.5705231969477609
RS-EAO,11,20,2029,1.7913203130010515
RS-EAO,11,20,2030,1.6710022260667756
RS-EAO,12,20,2026,1.6471057559829205
RS-EAO,12,20,2027,1.7841381449252367
RS-EAO,12,20,2028,1.771238561021164
RS-EAO,12,20,2029,1.6274487229529768
RS-EAO,12,20,2030,1.6832090569660068
AS-ABMO,1,20,2026,0.5107424639863893
AS-ABMO,1,20,2027,0.4365287789842114
AS-ABMO,1,20,2028,0.6093964610481635
AS-ABMO,1,20,2029,0.5197140920208767
AS-ABMO,1,20,2030,0.520086094038561
AS-ABMO,2,20,2026,0.6388481740141287
AS-ABMO,2,20,2027,0.5583385990466923
AS-ABMO,2,20,2028,0.5221154011087492
