t,AF,S,fed,seed,curve,variant
100,0.18756262095433096,0.433155270976666,0,1002,3227.5458486963407,EAO+M1
101,0.19276932592312046,0.4187547319633292,0,1002,3227.5458486963407,EAO+M1
102,0.1955773131890326,0.41130674805490547,0,1002,3227.5458486963407,EAO+M1
103,0.20075961511065543,0.39810814762163016,0,1002,3109.947966761518,EAO+M1
104,0.20910437767265788,0.37823006439657064,0,1002,3109.947966761518,EAO+M1
105,0.21718559565327689,0.36043569187545804,0,1002,2005.3321100005323,EAO+M1
106,0.22046468021099852,0.35358739506162046,0,1002,2005.3321100005323,EAO+M1
107,0.21752445574605628,0.3597184241055756,0,1002,2005.3321100005323,EAO+M1
108,0.22456942083440523,0.34529660195249307,0,1002,2005.3321100005323,EAO+M1
109,0.23598544214783546,0.32375495322865727,0,1002,1185.9354459905726,EAO+M1
110,0.2506123298452527,0.2990226660505796,0,1002,1185.9354459905726,EAO+M1
111,0.2589701370069002,0.28614490904538364,0,1002,1185.9354459905726,EAO+M1
112,0.2662304568816929,0.27561442507848705,0,1002,1185.9354459905726,EAO+M1
113,0.2755399601403009,0.2629237659360967,0,1002,1170.8182010308633,EAO+M1
114,0.29006451725897653,0.2447508883367407,0,1002,1170.8182010308633,EAO+M1
115,0.2986456393093033,0.23484500303194222,0,1002,1091.6993720601927,EAO+M1
116,0.31221967666164396,0.22028730882445677,0,1002,1016.7619338673312,EAO+M1
117,0.32312600467721675,0.2094767940447687,0,1002,744.1851777844854,EAO+M1
118,0.33346199803368914,0.1998842464498674,0,1002,703.3866586092408,EAO+M1
119,0.3489482950108712,0.1865754079608975,0,1002,683.7178869030381,EAO+M1
120,0.3694431552355878,0.170677636282723,0,1002,442.5328526938474,EAO+M1
121,0.37856249074634574,0.16415717997535206,0,1002,442.5328526938474,EAO+M1
122,0.3885447312035668,0.15737062420133013,0,1002,382.0217958755579,EAO+M1
123,0.4085799536568775,0.1447501378982956,0,1002,364.8332472896723,EAO+M1
124,0.4289528251368352,0.13312586872017962,0,1002,327.906387321857,EAO+M1
125,0.4466096180018101,0.12390919489690595,0,1002,327.906387321857,EAO+M1
126,0.4669807949649204,0.11414156872877824,0,1002,238.84041411500675,EAO+M1
127,0.5021965845551201,0.09912520928151436,0,1002,238.84041411500675,EAO+M1
128,0.5416250082207126,0.08462958408901596,0,1002,187.77407324198907,EAO+M1
129,0.5527980821655585,0.08089787795257009,0,1002,154.67018556150174,EAO+M1
130,0.5877266826505501,0.07014711591622241,0,1002,114.08474330278273,EAO+M1
131,0.6310876925224238,0.0584565840609335,0,1002,114.08474330278273,EAO+M1
132,0.6849153024390635,0.04600345421381054,0,1002,94.00017407962423,EAO+M1
133,0.7250011165150456,0.037930822066430225,0,1002,94.00017407962423,EAO+M1
134,0.7410052518740782,0.034951810054098476,0,1002,83.77374270129894,EAO+M1
135,0.7807507828888375,0.028081844029656137,0,1002,83.12234874157389,EAO+M1
136,0.8270970818599673,0.020904791218850676,0,1002,70.78202187148509,EAO+M1
137,0.8412440609608396,0.018871567290214795,0,1002,70.78202187148509,EAO+M1
138,0.8582061789171377,0.01652211607958522,0,1002,55.01860598852977,EAO+M1
139,0.8744087447388694,0.014362991680582598,0,1002,55.01860598852977,EAO+M1
140,0.8811818948910467,0.013483947616019114,0,1002,55.01860598852977,EAO+M1
141,0.9005147723610665,0.011047595296864762,0,1002,55.01860598852977,EAO+M1
142,0.9105830052597594,0.009819752205317384,0,1002,55.01860598852977,EAO+M1
143,0.9181930115220466,0.008909563398042613,0,1002,54.91726654302988,EAO+M1
144,0.9236016147854211,0.008271789913698709,0,1002,49.25566162213636,EAO+M1
145,0.9318832421315528,0.007309580727370914,0,1002,49.0582052785694,EAO+M1
146,0.9315632415041243,0.007346442565227891,0,1002,49.0582052785694,EAO+M1
147,0.9258611705005266,0.008007553601086155,0,1002,49.0582052785694,EAO+M1
148,0.9274534460189447,0.00782212350306728,0,1002,46.28773704506193,EAO+M1
149,0.9343466617343229,0.00702665733763228,0,1002,42.86911237848494,EAO+M1
150,0.9391551936554833,0.006478674318744901,0,1002,42.59676331720266,EAO+M1
151,0.9372169415083409,0.006698882159622206,0,1002,42.59676331720266,EAO+M1
152,0.937440011534886,0.006673492457686275,0,1002,42.59676331720266,EAO+M1
153,0.9355308675305554,0.006891181756473574,0,1002,42.59676331720266,EAO+M1
154,0.9366105053755287,0.006767967502036043,0,1002,42.59676331720266,EAO+M1
155,0.9400660531023387,0.006375503795703674,0,1002,37.92809127568103,EAO+M1
156,0.9454903582522186,0.005765224496688145,0,1002,37.92809127568103,EAO+M1
157,0.9498464123069182,0.005280178673441782,0,1002,31.10783111178216,EAO+M1
158,0.9547233798872363,0.004742380993970356,0,1002,31.10783111178216,EAO+M1
159,0.9566549079081782,0.004530901554312849,0,1002,28.204215743283385,EAO+M1
160,0.9547803518257619,0.004736130994711777,0,1002,28.204215743283385,EAO+M1
161,0.9577877678930219,0.004407263646709349,0,1002,28.204215743283385,EAO+M1
162,0.9584178979263881,0.0043386191100539765,0,1002,25.74935742647358,EAO+M1
163,0.9589937578490109,0.004275965491471467,0,1002,25.74935742647358,EAO+M1
164,0.95935056751441,0.004237182304578094,0,1002,22.679815303730038,EAO+M1
165,0.9575567777329475,0.004432449673380046,0,1002,22.226692517886477,EAO+M1
166,0.9578698254610925,0.004398319418677502,0,1002,22.226692517886477,EAO+M1
1,0.09090909090909094,1.0,0,1003,737555843.062171,EAO+M1
2,0.1041137091596549,0.8604883046348228,0,1003,21998974.27967571,EAO+M1
3,0.09942649188682084,0.9057681620088941,0,1003,21998974.27967571,EAO+M1
4,0.09717367708590796,0.9290852728727489,0,1003,21998974.27967571,EAO+M1
5,0.09657385287223352,0.935476964270022,0,1003,21998974.27967571,EAO+M1
6,0.09825761822544299,0.9177327906581177,0,1003,21998974.27967571,EAO+M1
7,0.09745811026449003,0.926081869724454,0,1003,21998974.27967571,EAO+M1
8,0.09514151346646516,0.9510658949654746,0,1003,9702075.0462888,EAO+M1
9,0.09354228901735862,0.969035203761616,0,1003,9702075.0462888,EAO+M1
10,0.09161009045885604,0.9915828103555042,0,1003,9702075.0462888,EAO+M1
11,0.09338897844672422,0.9707901688532465,0,1003,9702075.0462888,EAO+M1
12,0.09375372289979,0.9666243100221882,0,1003,1470189.322074546,EAO+M1
13,0.10124264500428315,0.887726071318755,0,1003,1470189.322074546,EAO+M1
14,0.09897221284202351,0.9103846031978385,0,1003,1470189.322074546,EAO+M1
15,0.10232320377822679,0.877295435517617,0,1003,1470189.322074546,EAO+M1
16,0.1018474762644902,0.8818603628459833,0,1003,1094267.5259103933,EAO+M1
17,0.10349859103054382,0.8661967279389206,0,1003,1094267.5259103933,EAO+M1
18,0.10320458067084504,0.8689492399463778,0,1003,1094267.5259103933,EAO+M1
19,0.10008470005075498,0.8991537162951777,0,1003,1094267.5259103933,EAO+M1
20,0.09672197950555217,0.9338911642545502,0,1003,850862.7184115708,EAO+M1
21,0.09856981594219505,0.914509351002985,0,1003,850862.7184115708,EAO+M1
22,0.09663957213852215,0.9347727932472741,0,1003,514361.3643406048,EAO+M1
23,0.09514378795955147,0.9510407683422594,0,1003,514361.3643406048,EAO+M1
24,0.09675021381195503,0.9335894470927104,0,1003,514361.3643406048,EAO+M1
25,0.09821646875348233,0.9181591872437834,0,1003,314359.78653965396,EAO+M1
26,0.09767815177531536,0.9237703947350024,0,1003,314359.78653965396,EAO+M1
27,0.09537495155417453,0.9484933241952774,0,1003,314359.78653965396,EAO+M1
28,0.09984650844761,0.9015372751113333,0,1003,314359.78653965396,EAO+M1
29,0.10166324608408894,0.8836396520064564,0,1003,314359.78653965396,EAO+M1
30,0.10232527173768269,0.8772756847043247,0,1003,289830.38823540026,EAO+M1
31,0.09834703815575385,0.9168074389960615,0,1003,289830.38823540026,EAO+M1
32,0.0986812182504504,0.9133640602835145,0,1003,289830.38823540026,EAO+M1
33,0.09856612775020235,0.9145473123731865,0,1003,133550.7391724134,EAO+M1
34,0.09884871309298748,0.9116469589839727,0,1003,133550.7391724134,EAO+M1
35,0.10006792948362753,0.8993211662919575,0,1003,133550.7391724134,EAO+M1
36,0.10019483695333453,0.8980554192285846,0,1003,133550.7391724134,EAO+M1
37,0.10236857527610144,0.8768622815183948,0,1003,133550.7391724134,EAO+M1
38,0.10307772580567431,0.8701416985908618,0,1003,133550.7391724134,EAO+M1
39,0.10265755923554709,0.8741123863129325,0,1003,133550.7391724134,EAO+M1
40,0.10279994961380612,0.8727631227026389,0,1003,133550.7391724134,EAO+M1
41,0.10196175239960947,0.8807599187593304,0,1003,133550.7391724134,EAO+M1
42,0.10502598158607634,0.8521453500345799,0,1003,133550.7391724134,EAO+M1
43,0.09810224058654582,0.9193447101932406,0,1003,133550.7391724134,EAO+M1
