alg,fid,dim,seed,f,err,nfe
RS-EAO,4,10,2029,852.8953583832789,52.895358383278904,15030
RS-EAO,4,10,2030,845.4557929213047,45.45579292130469,15030
RS-EAO,4,10,2031,834.0474188569834,34.04741885698343,15030
RS-EAO,4,10,2032,832.3209609997193,32.32096099971932,15030
RS-EAO,4,10,2033,833.847354719137,33.847354719137,15030
RS-EAO,4,10,2034,841.2873157119626,41.287315711962606,15030
RS-EAO,4,10,2035,832.0,32.0,15030
RS-EAO,4,10,2036,840.3344395824099,40.334439582409914,15030
RS-EAO,4,10,2037,851.5176099691648,51.51760996916482,15030
RS-EAO,4,10,2038,842.4693232465988,42.46932324659883,15030
RS-EAO,4,10,2039,837.5270009908919,37.527000990891906,15030
RS-EAO,4,10,2040,843.6777837012255,43.67778370122551,15030
RS-EAO,4,10,2041,840.7410729578129,40.74107295781289,15030
RS-EAO,4,10,2042,848.4053788645814,48.405378864581394,15030
RS-EAO,4,10,2043,843.4246817147887,43.424681714788676,15030
RS-EAO,4,10,2044,846.9955971681936,46.995597168193626,15030
RS-EAO,4,10,2045,832.0307767416496,32.03077674164956,15030
RS-EAO,4,10,2046,834.8691375137242,34.86913751372424,15030
RS-EAO,4,10,2047,844.3346070660646,44.334607066064564,15030
RS-EAO,4,10,2048,820.445990648404,20.44599064840395,15030
RS-EAO,4,10,2049,839.8409586517863,39.84095865178631,15030
RS-EAO,4,10,2050,842.0828737510795,42.082873751079546,15030
RS-EAO,4,10,2051,836.852247584146,36.85224758414597,15030
RS-EAO,4,10,2052,854.3183933854357,54.318393385435684,15030
RS-EAO,4,10,2053,822.7073019731366,22.707301973136623,15030
RS-EAO,4,10,2054,839.1574095998403,39.15740959984032,15030
RS-EAO,4,10,2055,826.0,26.0,15030
RS-EAO,6,10,2026,1872.2549631431034,72.2549631431034,15030
RS-EAO,6,10,2027,6640.020305606395,4840.020305606395,15030
RS-EAO,6,10,2028,1936.3570836501774,136.3570836501774,15030
RS-EAO,6,10,2029,4514.719849304275,2714.719849304275,15030
RS-EAO,6,10,2030,2736.5989902479732,936.5989902479732,15030
RS-EAO,6,10,2031,2234.4558208024846,434.4558208024846,15030
RS-EAO,6,10,2032,1901.6593564265168,101.65935642651675,15030
RS-EAO,6,10,2033,2494.8316894700124,694.8316894700124,15030
RS-EAO,6,10,2034,3712.8665900736432,1912.8665900736432,15030
RS-EAO,6,10,2035,6014.882059460983,4214.882059460983,15030
RS-EAO,6,10,2036,2313.018801262341,513.0188012623412,15030
RS-EAO,6,10,2037,1947.7505501558735,147.7505501558735,15030
RS-EAO,6,10,2038,4859.478057335896,3059.4780573358958,15030
RS-EAO,6,10,2039,2126.986865257452,326.9868652574519,15030
RS-EAO,6,10,2040,2265.5573861363678,465.55738613636777,15030
RS-EAO,6,10,2041,2037.596823417631,237.59682341763096,15030
RS-EAO,6,10,2042,2052.03061434298,252.0306143429798,15030
RS-EAO,6,10,2043,7830.720374997133,6030.720374997133,15030
RS-EAO,6,10,2044,2766.332488544513,966.3324885445131,15030
RS-EAO,6,10,2045,3414.392756509296,1614.3927565092959,15030
RS-EAO,6,10,2046,5281.442786094742,3481.4427860947417,15030
RS-EAO,6,10,2047,2056.0598975017074,256.0598975017074,15030
